company_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,car_name
Honda,190000,2013,1498,Third Party,Manual,120000,First Owner,Diesel,98.6bhp,5,25.8,Sedan,Agra,Amaze E i-Dtech
Maruti,570000,2019,1197,Third Party,Manual,80000,Second Owner,Petrol,83.1bhp,5,21.4,Hatchback,Agra,Baleno 1.2 Zeta
Maruti,350000,2014,1248,Third Party,Manual,80000,Second Owner,Diesel,74bhp,5,23.4,Sedan,Agra,Swift Dzire ZDI
Honda,380000,2014,1498,Third Party,Manual,120000,Fourth Owner,Diesel,98.6bhp,5,26,Sedan,Agra,City i DTEC
Maruti,780000,2019,1248,Third Party,Manual,100000,First Owner,Diesel,88.5bhp,5,24.3,SUV,Agra,Vitara Brezza VDi
Renault,240000,2018,799,Third Party,Manual,20000,First Owner,Petrol,53.3bhp,5,25.17,Hatchback,Agra,KWID STD
Tata,840000,2021,1199,Third Party,Manual,10000,First Owner,Petrol,118.35bhp,5,17.33,SUV,Agra,Nexon XM BSVI
Ford,250000,2013,1498,Third Party,Manual,100000,Second Owner,Diesel,89.84bhp,5,22.7,SUV,Agra,Ecosport 1.5 DV5
Maruti,400000,2014,1248,Third Party,Manual,100000,Second Owner,Diesel,74bhp,5,25.2,Hatchback,Agra,Swift VDI BSIV
Maruti,150000,2009,1061,Third Party,Manual,80000,First Owner,Petrol,67bhp,5,18.9,Hatchback,Agra,Wagon R LXI
Tata,100000,2009,1248,Third Party,Manual,70000,Second Owner,Diesel,75 PS at 4000 rpm,5,18,Hatchback,Agra,Indica Aqua 1.3
Mahindra,1275000,2020,2179,Third Party,Manual,50000,First Owner,Diesel,152.87bhp,7,15.1,SUV,Agra,XUV500 W7
Datsun,270000,2015,1198,Third Party,Manual,30000,Second Owner,Petrol,67bhp,7,19.44,MUV,Agra,GO Plus T
Chevrolet,220000,2012,936,Third Party,Manual,70000,Second Owner,Diesel,57.6bhp,5,25.44,Hatchback,Agra,Beat Diesel
Ford,600000,2017,1498,Third Party,Manual,50000,First Owner,Diesel,99bhp,5,25.83,Sedan,Agra,Aspire 1.5 TDCi
Mahindra,900000,2016,2179,Third Party,Manual,50000,First Owner,Diesel,140bhp,7,16,SUV,Agra,XUV500 W4
Maruti,495000,2019,1197,Third Party,Manual,20000,First Owner,Petrol,81.80bhp,5,20.52,Hatchback,Agra,Wagon R ZXI
Mahindra,980000,2022,1197,Third Party,Automatic,60000,First Owner,Petrol,108.62bhp,5,16.5,SUV,Agra,XUV300 W8 Option
Kia,1375000,2019,1353,Third Party,Automatic,20000,First Owner,Petrol,138bhp,5,16.2,SUV,Agra,Seltos GTX DCT
Maruti,340000,2015,998,Third Party,Manual,40000,First Owner,Petrol,67.04bhp,5,20.51,Hatchback,Agra,Wagon R VXI
MG,1300000,2020,1451,Third Party,Automatic,40000,Second Owner,Petrol,141bhp,5,13.96,SUV,Agra,Hector Sharp DCT
Tata,600000,2019,1198,Third Party,Manual,70000,First Owner,Petrol,108.5bhp,5,17,SUV,Agra,Nexon 1.2 Revotron
Honda,300000,2012,1198,Third Party,Manual,60000,First Owner,Petrol,86.8bhp,5,19.4,Hatchback,Agra,Brio V MT
Renault,500000,2013,1461,Third Party,Manual,150000,Second Owner,Diesel,78 kW,5,21.8,Sedan,Agra,Fluence Diesel E4
Toyota,1099000,2020,1496,Third Party,Manual,40000,First Owner,Petrol,105.94bhp,5,17.1,Sedan,Agra,Yaris G Optional
Honda,350000,2011,1497,Third Party,Manual,90000,Second Owner,Petrol,"118PS at 6,600 rpm",5,17,Sedan,Agra,City 1.5 V
Renault,435000,2019,999,Third Party,Manual,20000,First Owner,Petrol,72bhp,7,20,MUV,Agra,Triber RXL BSIV
Maruti,186000,2012,998,Third Party,Manual,100000,Second Owner,Petrol,67.1bhp,5,18.9,Hatchback,Agra,Wagon R LXI
Maruti,625000,2022,1196,Third Party,Manual,20000,First Owner,CNG,61.68bhp,5,20.88,Minivans,Agra,Eeco CNG 5
Renault,450000,2012,1461,Third Party,Manual,120000,Second Owner,Diesel,108.45bhp,5,19.01,SUV,Agra,Duster 110PS Diesel
Hyundai,650000,2017,1396,Third Party,Manual,80000,First Owner,Diesel,88.73bhp,5,22.54,Hatchback,Agra,i20 1.4 Asta
Maruti,350000,2018,998,Third Party,Manual,150000,First Owner,CNG,58.16bhp,5,26.6,Hatchback,Agra,Wagon R LXI
Hyundai,130000,2009,1197,Third Party,Manual,50000,First Owner,Petrol,78.9bhp,5,20.36,Hatchback,Agra,i10 Magna 1.2
Maruti,500000,2017,1248,Third Party,Manual,70000,First Owner,Diesel,74bhp,5,25.2,Hatchback,Agra,Swift VDI BSIV
Mahindra,950000,2021,1493,Third Party,Manual,10000,First Owner,Diesel,74.96bhp,7,16,SUV,Agra,Bolero B6 Opt
Hyundai,700000,2017,1582,Third Party,Manual,120000,Third Owner,Diesel,126.2bhp,5,19.67,SUV,Agra,Creta 1.6 CRDi
Ford,140000,2009,1399,Third Party,Manual,120000,Third Owner,Diesel,68,5,17.8,Sedan,Agra,Fiesta 1.4 ZXi
Tata,200000,2010,2179,Third Party,Manual,120000,First Owner,Diesel,138.1bhp,7,11.57,SUV,Agra,New Safari DICOR
Renault,320000,2018,999,Third Party,Automatic,20000,First Owner,Petrol,67bhp,5,24.04,Hatchback,Agra,KWID Climber 1.0
Hyundai,200000,2011,1197,Third Party,Manual,40000,First Owner,Petrol,78.9bhp,5,20.36,Hatchback,Agra,i10 Magna
Hyundai,410000,2015,1197,Third Party,Manual,90000,Second Owner,Petrol,81.83bhp,5,18.6,Hatchback,Agra,i20 Magna 1.2
Maruti,440000,2016,1197,Third Party,Manual,30000,Second Owner,Petrol,81.80bhp,5,21.21,Hatchback,Agra,Swift VXI
Jeep,2500000,2022,1368,Third Party,Automatic,20000,First Owner,Petrol,160.77bhp,5,14.1,SUV,Agra,Compass Model S
Toyota,630000,2020,1197,Third Party,Manual,30000,First Owner,Petrol,81.80bhp,5,21.01,Hatchback,Agra,Glanza G
Toyota,200000,2012,1364,Third Party,Manual,150000,Fourth Owner,Diesel,81.80bhp,5,23.59,Sedan,Agra,Etios GD
Maruti,350000,2018,1196,Third Party,Manual,100000,Second Owner,Petrol,73bhp,7,15.37,Minivans,Agra,Eeco 7 Seater
Honda,400000,2016,1498,Third Party,Manual,150000,First Owner,Diesel,98.63bhp,5,27.4,Sedan,Agra,Amaze S Diesel
Chevrolet,150000,2011,1199,Third Party,Manual,90000,First Owner,Petrol,79.4bhp,5,18.6,Hatchback,Agra,Beat LT
Honda,425000,2016,1498,Third Party,Manual,150000,First Owner,Diesel,98.63bhp,5,27.4,Sedan,Agra,Amaze E Diesel
Maruti,425000,2016,1248,Third Party,Manual,80000,Second Owner,Diesel,74bhp,5,26.59,Sedan,Agra,Swift Dzire VDI
Maruti,400000,2017,1197,Third Party,Manual,70000,Second Owner,Petrol,83.14bhp,5,20.85,Sedan,Agra,Swift Dzire VXI
Maruti,460000,2016,1197,Third Party,Manual,30000,Second Owner,Petrol,81.80bhp,5,21.21,Hatchback,Agra,Swift VXI
Mahindra,330000,2017,1198,Third Party,Manual,70000,First Owner,Diesel,77bhp,6,25.32,SUV,Agra,KUV 100 mFALCON
Nissan,470000,2021,999,Third Party,Manual,30000,First Owner,Petrol,71.02bhp,5,18.75,SUV,Agra,Magnite XE BSVI
Hyundai,1150000,2018,1582,Third Party,Automatic,70000,Second Owner,Diesel,126.2bhp,5,17.6,SUV,Agra,Creta 1.6 SX
Maruti,725000,2020,1462,Third Party,Manual,60000,Second Owner,Petrol,103.25bhp,5,20.65,Sedan,Agra,Ciaz Delta BSVI
Hyundai,400000,2015,1396,Third Party,Manual,80000,Third Owner,Diesel,88.73bhp,5,21.19,Hatchback,Agra,i20 Active 1.4
Hyundai,250000,2013,1120,Third Party,Manual,150000,First Owner,Diesel,70bhp,5,24,Hatchback,Agra,Grand i10 CRDi
MG,1450000,2022,1498,Third Party,Manual,40000,First Owner,Petrol,108.49bhp,5,15.43,SUV,Agra,Astor Sharp BSVI
Hyundai,690000,2020,1197,Third Party,Manual,40000,First Owner,Petrol,81.83bhp,5,18.6,Hatchback,Agra,i20 Sportz 1.2
Hyundai,350000,2015,1197,Third Party,Manual,120000,Fourth Owner,Petrol,81.83bhp,5,18.6,Hatchback,Agra,i20 Asta 1.2
Maruti,342000,2020,998,Third Party,Manual,150000,First Owner,CNG,81.83bhp,5,18.6,Hatchback,Agra,Celerio Tour 2018-2021
Maruti,425000,2013,1248,Third Party,Manual,80000,Third Owner,Diesel,88.8bhp,7,20.77,MUV,Agra,Ertiga ZDI
Audi,1100000,2014,1968,Third Party,Automatic,80000,Second Owner,Diesel,174.33bhp,5,15.73,SUV,Agra,Q3 2.0 TDI
Tata,600000,2022,1199,Third Party,Manual,10000,First Owner,Petrol,86.63bhp,5,20.09,SUV,Agra,Punch Pure Rhythm
Hyundai,150000,2009,1197,Third Party,Manual,150000,Third Owner,Petrol,80 PS at 5200 rpm,5,18.5,Hatchback,Agra,i20 Magna
Honda,170000,2004,2354,Third Party,Automatic,150000,Second Owner,Petrol,152 PS,5,10.1,SUV,Agra,CR-V 2.4 4WD
Maruti,160000,2011,998,Third Party,Manual,70000,Fourth Owner,CNG,58.2bhp,5,26.2,Hatchback,Agra,Wagon R LXI
Hyundai,140000,2009,1197,Third Party,Manual,150000,Second Owner,Petrol,80 PS at 5200 rpm,5,18.5,Hatchback,Agra,i20 Magna
Skoda,140000,2011,1199,Third Party,Manual,90000,Third Owner,Diesel,75bhp,5,20.86,Hatchback,Agra,Fabia 1.2 TDI
Mahindra,1500000,2021,2184,Third Party,Manual,50000,Second Owner,Diesel,130bhp,4,15.2,SUV,Agra,Thar LX 4-Str
Maruti,225000,2011,998,Third Party,Manual,60000,First Owner,Petrol,67.1bhp,5,18.9,Hatchback,Agra,Wagon R VXI
Hyundai,550000,2019,1197,Third Party,Manual,40000,Second Owner,Petrol,81.86bhp,5,18.6,Hatchback,Agra,i20 Petrol Magna
Maruti,140000,2009,998,Third Party,Manual,60000,First Owner,Petrol,66.1bhp,5,19,Hatchback,Agra,A-Star Vxi
Maruti,400000,2017,998,Third Party,Manual,20000,First Owner,CNG,58.16bhp,5,26.6,Hatchback,Agra,Wagon R LXI
Hyundai,900000,2018,1582,Third Party,Manual,90000,First Owner,Diesel,126.2bhp,5,22,Sedan,Agra,Verna CRDi 1.6
Honda,315000,2010,1497,Third Party,Manual,80000,First Owner,Petrol,"118PS at 6,600 rpm",5,17,Sedan,Agra,City 1.5 E
Ford,350000,2013,1498,Third Party,Manual,120000,First Owner,Diesel,89.84bhp,5,22.7,SUV,Agra,Ecosport 1.5 DV5
Hyundai,140000,2013,814,Third Party,Manual,100000,Second Owner,Petrol,55.2bhp,5,21.1,Hatchback,Agra,EON D Lite
Maruti,700000,2021,1197,Third Party,Manual,30000,First Owner,Petrol,81.80bhp,5,21.01,Hatchback,Agra,Baleno Delta
Toyota,880000,2020,1462,Third Party,Automatic,50000,First Owner,Petrol,103.26bhp,5,18.76,SUV,Agra,Urban cruiser Premium
BMW,1000000,2010,1995,Third Party,Automatic,100000,Second Owner,Diesel,170,5,13.2,Sedan,Agra,3 Series 320d
Maruti,215000,2010,1197,Third Party,Manual,120000,First Owner,Petrol,85ps,5,16.6,Hatchback,Agra,Swift VXI with
Renault,500000,2013,1461,Third Party,Manual,150000,First Owner,Diesel,108.45bhp,5,19.01,SUV,Agra,Duster 110PS Diesel
Chevrolet,240000,2012,2499,Third Party,Manual,150000,Second Owner,Diesel,80,7,14.8,MUV,Agra,Tavera 2 LS
Tata,320000,2016,1248,Third Party,Manual,90000,Third Owner,Diesel,88.7bhp,5,23,Sedan,Agra,Zest Quadrajet 1.3
Maruti,200000,2012,998,Third Party,Manual,150000,Third Owner,Petrol,67.1bhp,5,18.9,Hatchback,Agra,Wagon R LXI
Maruti,400000,2017,998,Third Party,Manual,30000,First Owner,Petrol,67.04bhp,5,20.51,Hatchback,Agra,Wagon R LXI
Maruti,125000,2010,1248,Third Party,Manual,100000,Second Owner,Diesel,73.9bhp,5,21.1,Hatchback,Agra,Ritz VDi
Hyundai,500000,2018,1197,Third Party,Manual,50000,First Owner,Petrol,81.83bhp,5,18.6,Hatchback,Agra,i20 1.2 Asta
Tata,380000,2017,1047,Third Party,Manual,70000,First Owner,Diesel,69bhp,5,27.28,Hatchback,Agra,Tiago 1.05 Revotorq
Chevrolet,150000,2011,936,Third Party,Manual,80000,First Owner,Diesel,57.6bhp,5,25.44,Hatchback,Agra,Beat Diesel
Hyundai,510000,2017,1186,Third Party,Manual,60000,First Owner,Diesel,73.97bhp,5,24,Hatchback,Agra,Grand i10 1.2
Mahindra,300000,2011,2179,Third Party,Manual,150000,Second Owner,Diesel,120bhp (86.7kw),8,15.4,SUV,Agra,Scorpio VLX SE
Maruti,250000,2015,998,Third Party,Manual,50000,Third Owner,Petrol,67.04bhp,5,20.51,Hatchback,Agra,Wagon R VXI
Maruti,400000,2015,1248,Third Party,Manual,120000,Third Owner,Diesel,74bhp,5,26.59,Sedan,Agra,Swift Dzire VDI
Hyundai,370000,2012,1582,Third Party,Manual,90000,Second Owner,Diesel,126.32bhp,5,22.32,Sedan,Agra,Verna 1.6 SX
